Ranking 2026,Country,Total,Anti-Discrimination Legislation,Marriage / Civil Partnership,Adoption Allowed,Transgender Rights,Intersex / 3rd Option,Equal Age of Consent,Conversion Therapy,LGBT Marketing,Religious Influence,HIV Travel Restrictions,Anti-Gay Laws,Homosexuality Illegal,Pride Banned,Censorship,Locals Hostile,Prosecution,Murders,Death Sentences
59,Italy,-1,1,1,0,1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
59,Japan,-1,1,0,0,1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0
59,Latvia,-1,1,1,0,1,-1,0,-1,0,0,0,0,0,0,0,-2,0,0,0
59,Lithuania,-1,2,1,-1,2,-1,0,-1,0,-1,0,0,0,0,0,-2,0,0,0
59,Montenegro,-1,2,1,0,1,-1,0,-1,0,-1,0,0,0,0,0,-2,0,0,0
59,Poland,-1,1,0,0,2,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
59,Vietnam,-1,0,-1,0,1,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0
67,Bermuda,-2,1,1,2,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0
67,Bosnia-Herzegovina,-2,2,-1,0,1,-1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0
67,Korea South,-2,0,0,-1,3,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
67,North Cyprus,-2,1,0,0,1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
67,Romania,-2,2,0,0,1,-1,0,-1,0,-1,0,0,0,0,0,-2,0,0,0
67,St. Maarten,-2,1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0
67,Suriname,-2,1,0,0,0,1,0,-1,0,-1,0,0,0,0,0,-2,0,0,0
74,Albania,-3,2,-1,0,0,-1,0,1,0,-1,0,-1,0,0,0,-2,0,0,0
74,Antigua & Barbuda,-3,3,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,-2,0,0,0
74,Barbados,-3,1,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0
74,Bhutan,-3,0,-1,0,2,-1,0,-1,0,1,-1,-1,0,0,0,-1,0,0,0
74,Botswana,-3,3,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0
74,British Virgin Islands,-3,3,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0
74,Fiji,-3,3,-1,0,-1,-1,0,0,0,-1,0,-1,0,0,0,-1,0,0,0
74,Lesotho,-3,1,-1,0,2,-1,0,-1,0,0,0,-1,0,0,0,-2,0,0,0
74,Monaco,-3,0,1,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
74,Namibia,-3,1,0,-1,1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
74,Serbia,-3,2,-1,0,2,-1,0,-1,0,-1,0,-1,0,0,0,-2,0,0,0
74,Singapore,-3,1,-1,0,1,-1,0,1,0,0,-1,-1,0,0,-1,-1,0,0,0
74,Ukraine,-3,1,-1,0,2,-1,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0
87,Belize,-4,3,-1,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,-1,0,0,0
87,Cabo Verde,-4,1,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0
87,Cambodia,-4,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0
87,Micronesia,-4,2,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
87,Moldova,-4,2,-1,0,2,-1,0,-1,0,-1,0,-1,0,0,-1,-2,0,0,0
87,Mongolia,-4,2,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,0,-2,0,0,0
87,North Macedonia,-4,2,-1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,-2,0,0,0
87,Peru,-4,1,-1,0,2,-1,0,1,0,-2,0,-1,0,0,0,-1,0,-2,0
87,Seychelles,-4,1,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0
87,Slovakia,-4,2,0,-1,1,-1,0,-1,0,-1,-1,0,0,0,0,-2,0,0,0
97,China incl. Hong Kong,-5,0,0,-1,1,-1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0
97,East Timor,-5,1,-1,0,-1,-1,0,-1,0,1,-1,-1,0,0,0,-1,0,0,0
97,Kosovo,-5,3,-1,0,0,-1,0,-1,0,-2,0,-1,0,0,0,-2,0,0,0
97,Macao,-5,1,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0
97,Marshall Islands,-5,2,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0
97,Mauritius,-5,1,-1,0,-1,1,0,-1,0,-1,-1,-1,0,0,0,-1,0,0,0
97,Samoa,-5,1,-1,0,-1,-1,0,1,0,-1,0,-1,-1,0,0,-1,0,0,0
104,Armenia,-6,0,-1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,-2,0,0,0
104,Bulgaria,-6,2,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,-1,-2,0,0,0
104,Cook Islands,-6,1,-1,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,-1,0,0,0
104,Panama,-6,0,-1,0,1,-1,0,-1,0,-1,0,-1,0,0,-1,-1,0,0,0
104,Sao Tome and Principe,-6,1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0
104,Sri Lanka,-6,1,-1,-1,2,-1,0,-1,0,0,-1,-1,-1,0,0,-2,0,0,0
110,Angola,-7,1,-1,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,-2,0,0,0
110,El Salvador,-7,2,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,-2,0,-1,0
